Species,Strain,Age,Sex,OrigSubNum,DBSubNum,InjuryDevice,InjuryCondition,SpinalLevel,Laterality,BlindingCode,UniqueIdentifier,intendedforce,actualforce,actualdisplacement,actualvelocity,dwelltime,cmprs,imp_v,cmprs_rt,STD_TissDeform,STD_Velocity,STD_TissForce,wtChng_wk1,wtChng_wk3,wtChng_wk6,Mean_3and6_WeightGain,Mean_1and3and6wks_WeightGain,RFSL_wk1,RFSL_wk3,RFSL_wk6,Mean_3and6_RFSL,Mean_1and3and6wks_RFSL,RFPA_wk1,RFPA_wk3,RFPA_wk6,Mean_3and6_RFPA,Mean_1and3and6wks_RFPA,AbsDevStepDistRF_wk1,AbsDevStepDistRF_wk3,AbsDevStepDistRF_wk6,Mean_3and6_AbsDevStepDistRF,Mean_1and3and6wks_AbsDevStepDistRF,LFSL_wk1,LFSL_wk3,LFSL_wk6,Mean_3and6_LFSL,Mean_1and3and6wks_LFSL,LFPA_wk1,LFPA_wk3,LFPA_wk6,Mean_3and6_LFPA,Mean_1and3and6wks_LFPA,AbsDevStepDistLF_wk1,AbsDevStepDistLF_wk3,AbsDevStepDistLF_wk6,Mean_3and6_AbsDevStepDistLF,Mean_1and3and6wks_AbsDevStepDistLF,RHSL_wk1,RHSL_wk3,RHSL_wk6,Mean_3and6_RHSL,Mean_1and3and6wks_RHSL,RHPA_wk1,RHPA_wk3,RHPA_wk6,Mean_3and6_RHPA,Mean_1and3and6wks_RHPA,AbsDevStepDistRH_wk1,AbsDevStepDistRH_wk3,AbsDevStepDistRH_wk6,Mean_3and6_AbsDevStepDistRH,Mean_1and3and6wks_AbsDevStepDistRH,LHSL_wk1,LHSL_wk3,LHSL_wk6,Mean_3and6_LHSL,Mean_1and3and6wks_LHSL,LHPA_wk1,LHPA_wk3,LHPA_wk6,Mean_3and6_LHPA,Mean_1and3and6wks_LHPA,AbsDevStepDistLH_wk1,AbsDevStepDistLH_wk3,AbsDevStepDistLH_wk6,Mean_3and6_AbsDevStepDistLH,Mean_1and3and6wks_AbsDevStepDistLH,Groom_wk1,Groom_wk3,Groom_wk6,Mean_3and6_Grooming,Mean_1and3and6wks_Grooming,PawPL_wk1,PawPL_wk3,PawPL_wk6,Mean_3and6_PawPL,Mean_1and3and6wks_PawPL,BBB_FergTrans_wk1,BBB_FergTrans_wk3,BBB_FergTrans_wk6,Mean_3and6_BBB_FergTrans,Mean_1and3and6wks_BBB_FergTrans,TotalSubscore_wk1,TotalSubscore_wk3,TotalSubscore_wk6,Mean_3and6_BBB_TotalSubscore,Mean_1and3and6wks_BBB_TotalSubscore,ForelimbOpenField_wk1,ForelimbOpenField_wk3,ForelimbOpenField_wk6,Mean_3and6_ForelimbOpenField,Mean_1and3and6wks_ForelimbOpenField,pct_TissueAreaTOTepi,pct_tsprle,pct_gmsprle,pct_wmsprle,pct_prcls,PctCntMN_COMPavg
ILX:0112860,ILX:0383317,ILX:0383265,ILX:0383307,ILX:0275888,ILX:0112800,ILX:0112974,ILX:0115028,ILX:0381318,ILX:0112979,ILX:0383376,ILX:0112800,ILX:0112986,ILX:0112987,ILX:0112989,ILX:0112991,ILX:0383598,ILX:0115028,ILX:0381344,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028,ILX:0115028
Rat,LE,75-83days,F,2413,2413,IH-impactor,75kdyn,C5,Unilateral,,,75,,,,0,,,,0,,,-18,14,31,22.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4.666666667,85.36585,56.756756,55,55.878378,65.70753533,,,,,,11,13,11,12,11.66666667,3,3,3,3,3,66,38,1,55,27,13.492064
Rat,LE,75-83days,F,2414,2414,IH-impactor,75kdyn,C5,Unilateral,,,75,,,,0,,,,0,,,-11,9,21,15,6.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,30,31.147541,8,19.5737705,23.04918033,,,,,,12,12,12,12,12,3,3,3,3,3,,,,,,
Rat,LE,75-83days,F,2415,2415,IH-impactor,75kdyn,C5,Unilateral,,,75,76,652,,0,,,,652,,,-9,15,34,24.5,13.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,100,53.846153,48.75,51.2980765,67.532051,,,,,,11,13,13,13,12.33333333,3,3,3,3,3,78,32,0,48,45,8.510638
Rat,LE,75-83days,F,2416,2416,IH-impactor,75kdyn,C5,Unilateral,,,75,78,793,,0,,,,793,,,-8,2,12,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,4,3.666666667,83.870964,84.375,94.117645,89.2463225,87.45453633,,,,,,13,13,13,13,13,3,3,3,3,3,74,28,0,40,45,0
Rat,LE,75-83days,F,2417,2417,IH-impactor,75kdyn,C5,Unilateral,,,75,75,687,,0,,,,687,,,-4,19,30,24.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3.5,3.333333333,96.666664,34.72222,29.906542,32.314381,53.765142,,,,,,12,12,12,12,12,3,3,3,3,3,77,56,64,54,19,35.75113
Rat,LE,75-83days,F,2418,2418,IH-impactor,75kdyn,C5,Unilateral,,,75,83,811,,0,,,,811,,,,14,30,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,4.666666667,78.947365,57.142857,48.235294,52.6890755,61.44183867,,,,,,12,13,12,12.5,12.33333333,3,3,3,3,3,65,38,5,56,25,21.64411
Rat,LE,75-83days,F,2419,2419,IH-impactor,75kdyn,C5,Unilateral,,,75,79,705,,0,,,,705,,,,-1,12,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,88.181816,68.085106,84.90566,76.495383,80.39086067,,,,,,13,12,13,12.5,12.66666667,3,3,3,3,3,66,34,3,49,32,8.918617
Rat,LE,75-83days,F,2466,2466,IH-impactor,75kdyn,C5,Unilateral,,,75,77,793,120,0,,,,793,,,-4,-1,15,7,3.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,3.5,3.333333333,100,88.888885,84.31373,86.6013075,91.06753833,,,,,,,,,,,,,,,,66,26,0,34,39,0.775194
Rat,LE,75-83days,F,2468,2468,IH-impactor,75kdyn,C5,Unilateral,,,75,77,740,120,0,,,,740,,,-10,-4,11,3.5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,5,5,4.333333333,82.828285,52.63158,55.91398,54.27278,63.79128167,,,,,,,,,,,,,,,,68,33,0,47,34,12.403101
